202607VA26OBL001001OV00012345036-2026-0160-000   0160  2520480100000000010000000202600120263652026032OBLIGATION - MEDICAL SUPPLIES                                                                                                                        
202607VA26OBL001002DV00012345036-2026-0160-000   0160  2520490200000000006000000202600120263652026060DISBURSEMENT - PARTIAL A                                                                                                                             
202607VA26OBL001003DV00012345036-2026-0160-000   0160  2520490200000000004000000202600120263652026120DISBURSEMENT - PARTIAL B                                                                                                                             
202607VA26OBL002001OV00099001036-2026-0162-000   0162  2520480100000000025000000202600120263652026032OBLIGATION - PROSTHETICS CONTRACT                                                                                                                    
202607VA26OBL002002DV00099001036-2026-0162-000   0162  2520490200000000012000000202600120263652026200DISBURSEMENT - MILESTONE 1                                                                                                                           
202607VA26REJ200001OV00012345036-2026-0160-000   0160  2520999999000000000050000202600120263652026032BAD USSGL ACCOUNT                                                                                                                                    
202607VA26REJ201001OV00012345036-2026-0160-000   0160  2520480100000000000000000202600120263652026032ZERO DOLLAR FILLER                                                                                                                                   
202607VA26REJ202001XV00012345036-2026-0160-000   0160  2520480100000000000001000202600120263652026032BAD TXN TYPE                                                                                                                                         
202607VA26REJ203001OV00012345036-2026-0160-000   0160  2520480100000000000001000202600120263652026400BAD JULIAN DATE                                                                                                                                      
202607VA26REJ204001OV00012345036-2026-0160-000   9999  2520480100000000000001000202600120263652026032UNMAPPED APPROPRIATION                                                                                                                               
202607VA26REJ205001OV00012345036-2026-0160-000   0160  2520480100ABC000000000000202600120263652026032NON NUMERIC AMOUNT                                                                                                                                   
202607VA26REJ206001O         036-2026-0160-000   0160  2520480100000000000001000202600120263652026032MISSING VENDOR                                                                                                                                       
202607VA26REJ207001OV00012345036-2026-0160-000   0160  2520480100000000000001000202630020261002026032INVERTED POP WINDOW                                                                                                                                  
202607          001OV00012345036-2026-0160-000   0160  2520480100000000000001000202600120263652026032MISSING OBLIGATION NO                                                                                                                                
202600VA26REJ209001OV00012345036-2026-0160-000   0160  2520480100000000000001000202600120263652026032BAD PERIOD                                                                                                                                           
