2026070001230012026032036-2026-0160-000   0160  VHA000014801002520D000000010000000         UDO - MEDICAL SUPPLIES                                                                                       
2026070001230022026032036-2026-0160-000   0160  VHA000012110002520C000000010000000         ACCOUNTS PAYABLE - MED SUPPLIES                                                                              
2026070001240012026032036-2026-0162-000   0162  VHA000016100002520D000000006000000         PROGRAM COST - PROSTHETICS                                                                                   
2026070001240022026032036-2026-0162-000   0162  VHA000016100002520D000000004000000         PROGRAM COST - PHARMACY                                                                                      
2026070001240032026032036-2026-0162-000   0162  VHA000011010002520C000000007000000         FBWT DRAWDOWN A                                                                                              
2026070001240042026032036-2026-0162-000   0162  VHA000011010002520C000000003000000         FBWT DRAWDOWN B                                                                                              
2026070002000012026032036-2026-0160-000   0160  VHA000019999992520D000000000050000         BAD USSGL ACCOUNT                                                                                            
2026070002010012026032036-2026-0160-000   0160  VHA000014801002520D000000000000000         ZERO DOLLAR FILLER                                                                                           
2026070002020012026032036-2026-0160-000   0160  VHA000014801002520X000000000001000         BAD DR CR INDICATOR                                                                                          
2026070002030012026400036-2026-0160-000   0160  VHA000014801002520D000000000001000         BAD JULIAN DATE                                                                                              
2026070002040012026032036-2026-0160-000   9999  VHA000014801002520D000000000001000         UNMAPPED FUND                                                                                                
2026070002050012026032036-2026-0160-000   0160  VHA000014801002520DABC000000000000         NON NUMERIC AMOUNT                                                                                           
